// Unused singles
CS (64, 784) (94, 0) - 1 5 22 2 2 2 18 4 24 5 1 32 1 5 24 4 18 2 2 2 22 5 1 31 6 30 4 12 2 12 4 28 5 1 35 6 28 6 35 1 5 28 4 14 4 28 5 1 35 6 28 6 35 1 5 28 4 12 2 12 4 30 6 31
CS (88, 980) (104, 0) - 1 5 22 4 20 2 2 2 18 4 22 4 20 4 20 4 20 4 22 4 20 4 20 4 20 4 22 4 18 2 2 2 20 4 22 5 1 30 1 6 1 25 5 1 32 1 5 24 4 18 4 24 4 16 4 24 4 18 4 24 5 1 32 1 5 24 4 18 4 24 4 16 4 24 4 18 4 24 5 1 32 1 5 25 1 6 1 30
CS (48, 580) (110, 0) - 1 5 22 4 22 4 16 2 8 2 10 2 12 4 28 4 12 2 10 2 8 2 16 4 22 4 22 5 1 31 6 30 6 32 6 28 5 1 34 1 5 28 6 32 6 30 6 31
CS (72, 1000) (127, 0) - 1 5 28 4 14 4 28 4 14 4 28 5 1 35 6 28 4 14 4 28 4 14 4 28 6 35 1 5 28 4 14 4 28 4 14 4 28 5 1 35 6 28 4 14 4 28 5 1 35 6 28 6 35 1 5 28 5 1 35 6 28 6 35 1 5 28 4 14 4 28 6 35
CS (94, 1048) (130, 0) - 1 5 22 4 18 2 6 2 14 4 28 6 34 6 29 1 6 1 27 4 14 2 8 2 14 4 27 1 6 1 29 6 34 6 28 4 14 2 6 2 18 4 22 5 1 29 6 34 6 28 4 14 2 8 2 12 2 10 2 10 2 12 4 30 6 31 1 5 22 4 22 5 1 31 6 30 4 12 2 10 2 10 2 12 2 8 2 14 4 28 6 34 6 29
CS (76, 1040) (132, 0) - 1 5 25 1 6 1 31 6 29 1 6 1 27 6 34 6 26 4 16 4 26 5 1 33 6 30 6 30 6 32 6 30 6 30 6 33 1 5 26 4 16 4 26 6 34 6 27 1 6 1 29 6 31 1 6 1 25 5 1 33 6 27 1 6 1 29 6 32 6 29 1 6 1 27 6 33
CS (96, 1244) (134, 0) - 1 5 24 4 18 4 24 4 18 4 24 4 18 4 24 5 1 32 1 5 25 1 6 1 32 1 5 26 5 1 33 6 31 1 5 24 4 18 4 26 6 35 1 5 28 5 1 35 6 28 6 35 1 5 28 4 14 4 28 5 1 35 6 28 6 35 1 5 28 5 1 35 6 26 4 18 4 24 5 1 31 6 33 1 5 26 5 1 32 1 6 1 25 5 1 32
CS (44, 540) (139, 0) - 1 5 22 4 22 4 18 2 4 2 18 4 22 4 22 5 1 31 6 30 4 12 2 12 4 28 5 1 35 6 28 6 35 1 5 28 4 12 2 12 4 30 6 31
CS (116, 1396) (142, 0) - 1 5 22 2 2 2 18 4 24 4 16 2 8 2 12 4 30 6 32 6 32 6 31 1 5 24 4 20 4 20 4 24 5 1 31 6 33 1 5 27 1 6 1 28 1 6 1 27 5 1 33 6 31 1 5 24 4 20 4 20 4 24 5 1 31 6 32 6 32 6 30 4 12 2 8 2 16 4 24 4 18 2 2 2 22 5 1 29 4 14 4 28 4 14 4 28 4 14 4 28 4 14 4 28 4 14 4 28 4 14 4 28 4 14 4 29
CS (56, 636) (146, 0) - 1 5 22 4 22 4 20 4 22 4 20 4 22 4 20 4 22 4 20 4 22 4 22 5 1 29 4 14 2 6 2 18 4 22 4 20 4 24 5 1 32 1 5 24 4 20 4 22 4 18 2 6 2 14 4 29
CS (64, 700) (146, 0) - 1 5 22 4 20 4 22 5 1 29 4 12 2 10 2 12 4 29 1 6 1 27 5 1 34 1 5 26 5 1 33 6 28 4 14 2 8 2 14 4 28 6 33 1 5 26 5 1 34 1 5 27 1 6 1 29 4 12 2 10 2 12 4 29
CS (72, 692) (146, 0) - 1 5 24 4 16 2 8 2 12 2 8 2 14 4 28 6 35 1 5 28 4 14 2 8 2 12 2 10 2 10 2 10 2 12 2 10 2 10 2 10 2 12 2 8 2 14 4 28 5 1 35 6 28 4 14 2 8 2 12 2 8 2 16 4 24 5 1 31 6 32 6 31
CS (124, 1356) (156, 0) - 1 5 24 4 18 2 6 2 14 4 27 1 6 1 29 6 32 4 10 2 12 2 10 2 10 2 10 2 12 2 10 2 10 2 10 2 12 2 10 4 32 6 29 1 6 1 27 4 14 2 6 2 18 4 24 5 1 32 1 5 26 5 1 33 6 30 6 32 6 32 6 30 4 12 2 10 2 10 2 12 2 8 2 14 4 28 5 1 35 6 28 6 35 1 5 28 4 14 2 8 2 12 2 10 2 10 2 12 4 30 6 32 6 32 6 30 6 33 1 5 26 5 1 32
CS (100, 1388) (162, 0) - 1 5 24 5 1 31 6 32 6 30 4 12 2 10 2 10 2 12 4 30 6 32 6 30 6 34 6 28 5 1 35 6 28 6 34 6 30 6 32 6 30 4 12 2 10 2 10 2 12 4 30 6 32 6 30 4 12 2 10 2 10 2 12 4 30 6 32 6 30 6 34 6 28 6 35 1 5 28 6 34 6 30 6 32 6 30 4 12 2 10 2 10 2 12 4 30 6 32 6 31
CS (112, 1268) (168, 0) - 1 5 24 5 1 31 6 32 6 30 4 12 2 10 2 10 2 10 2 14 4 26 5 1 33 6 30 6 33 1 5 26 5 1 33 6 30 6 33 1 5 26 5 1 33 6 30 6 33 1 5 26 4 14 2 10 2 10 2 10 2 12 4 30 6 32 6 31 1 5 24 5 1 31 6 33 1 5 26 4 16 2 6 2 14 2 8 2 12 2 8 2 14 2 8 2 12 2 8 2 14 2 6 2 16 4 26 5 1 33 6 31
CS (72, 984) (179, 0) - 1 5 20 4 24 4 16 2 6 2 16 4 26 6 35 1 5 28 6 34 6 28 5 1 35 6 26 4 16 2 6 2 16 4 24 4 20 5 1 29 6 34 6 28 6 35 1 5 28 6 35 1 5 28 4 14 4 28 5 1 35 6 28 5 1 35 6 28 6 34 6 29
CS (102, 1252) (180, 0) - 1 5 27 1 6 1 27 4 14 4 28 6 32 6 30 6 32 6 28 4 14 4 27 1 6 1 27 4 14 4 28 6 32 6 30 6 32 6 28 4 14 4 27 1 6 1 27 5 1 33 6 29 1 6 1 25 4 16 2 4 2 18 4 22 4 20 4 20 4 22 4 18 4 22 4 20 4 22 4 18 4 22 4 20 4 20 4 22 4 18 2 4 2 16 4 25 1 6 1 29 6 33
CS (88, 1012) (181, 0) - 1 5 22 4 18 2 4 2 18 4 22 5 1 29 4 12 2 8 2 14 4 26 4 16 4 24 4 16 2 4 2 18 2 4 2 16 4 24 5 1 31 6 30 6 32 6 30 6 30 6 32 6 30 6 30 6 32 6 30 6 31 1 5 24 4 16 2 4 2 18 2 4 2 16 4 24 4 16 4 26 4 14 2 8 2 12 4 29
CS (110, 1180) (188, 0) - 1 5 22 4 20 4 22 4 20 4 22 4 20 4 20 4 24 4 16 4 28 6 33 1 5 24 4 20 4 20 4 24 5 1 33 6 28 4 16 4 24 4 20 4 20 4 22 4 20 4 22 4 20 4 22 5 1 29 4 12 2 12 4 28 4 14 2 6 2 16 2 4 2 18 4 24 4 16 2 8 2 10 2 12 2 10 2 8 2 16 4 24 4 18 2 4 2 16 2 6 2 14 4 28 4 12 2 12 4 29
CS (72, 984) (190, 0) - 1 5 20 2 2 2 20 4 22 4 18 4 26 6 35 1 5 28 6 34 6 28 5 1 35 6 26 4 18 4 22 4 20 2 2 2 20 5 1 29 6 34 6 28 6 35 1 5 28 6 35 1 5 28 4 14 4 28 5 1 35 6 28 5 1 35 6 28 6 34 6 29
CS (92, 1252) (192, 0) - 1 5 22 4 22 5 1 30 1 6 1 27 6 35 1 5 28 6 34 6 30 6 31 1 5 22 4 22 5 1 30 1 6 1 27 6 35 1 5 28 6 34 6 30 6 31 1 5 22 4 22 5 1 31 6 30 6 34 6 28 5 1 35 6 27 1 6 1 30 1 5 22 4 22 5 1 31 6 30 6 34 6 28 5 1 35 6 27 1 6 1 30
CS (116, 1504) (200, 0) - 1 5 22 4 20 4 22 4 20 4 22 4 20 4 24 5 1 32 1 5 24 4 20 4 22 5 1 29 6 34 6 28 4 14 2 8 2 14 4 28 6 34 6 29 1 5 22 4 20 4 24 5 1 32 1 5 24 4 20 4 22 4 20 4 22 4 20 4 22 5 1 29 6 34 6 28 5 1 33 6 31 1 5 24 4 18 4 26 5 1 34 1 5 28 5 1 34 1 5 26 4 18 4 24 5 1 31 6 33 1 5 28 6 34 6 29
CS (68, 816) (201, 0) - 1 5 22 4 20 2 2 2 20 4 20 4 22 4 20 4 20 2 2 2 20 4 22 5 1 29 4 14 4 28 6 35 1 5 29 1 5 22 4 20 4 22 5 1 29 6 34 6 29 1 5 22 4 20 4 22 5 1 29 5 1 35 6 28 4 14 4 29
CS (100, 1092) (205, 0) - 1 5 26 4 16 2 6 2 14 2 8 2 14 4 26 4 16 4 26 4 16 4 26 4 14 2 8 2 14 2 6 2 16 4 26 5 1 35 6 26 4 16 2 6 2 14 2 8 2 14 4 26 4 16 4 26 4 16 4 26 5 1 33 6 30 4 12 4 30 4 12 4 30 6 33 1 5 26 4 16 4 26 4 16 4 26 4 14 2 8 2 14 2 6 2 16 4 26 6 35
CS (106, 1148) (208, 0) - 1 5 20 2 4 2 16 4 26 4 16 4 26 5 1 34 1 5 26 4 16 4 27 1 6 1 29 6 33 1 5 24 4 20 4 20 4 24 5 1 33 6 29 1 6 1 27 4 16 4 26 5 1 34 1 5 26 4 16 4 26 4 16 2 4 2 20 5 1 29 6 34 6 28 4 14 2 8 2 12 2 10 2 10 2 10 2 12 2 10 2 10 2 10 2 12 2 8 2 14 4 28 6 34 6 29
CS (84, 1120) (212, 0) - 1 5 20 4 24 5 1 33 6 26 4 18 4 20 4 24 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 24 4 20 4 18 4 26 6 33 1 5 24 4 20 5 1 29 6 31 1 6 1 25 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 25 1 6 1 31 6 29
